Item SKU,Store,Supplier,Cost per Unit ($),On Hand,Annual Demand
170,80212,D,78.83,172,1649
171,1611,B,13.71,144,1247
171,1611,C,186.11,53,448
171,20109,A,0.56,91,774
171,20109,B,99.69,106,1013
171,20109,C,151.45,34,357
171,80212,A,212.31,80,698
171,80212,C,1.05,86,893
175,3480,A,237.3,73,646
175,1611,B,314.36,176,1799
175,20109,B,267.82,109,1169
175,20109,D,295.06,125,1195
175,31779,A,171.71,133,1261
175,31779,B,280,86,812
175,31779,C,301.06,62,530
181,3480,C,215.15,59,541
181,1611,A,0.01,73,677
181,1611,B,140.2,41,437
181,20109,B,135.16,94,951
181,31779,A,331.41,73,747
181,31779,B,28.53,151,1568
181,80212,A,318.46,139,1472
186,1611,C,134.71,189,1730
186,20109,A,169.59,101,991
186,20109,B,31.57,19,171
186,31779,A,40.42,97,1027
186,31779,C,138.45,57,568
186,80212,A,88.67,153,1518
186,80212,B,165.31,200,1793
190,3480,B,302.38,83,739
190,3480,C,280.09,4,35
190,3480,D,244.46,183,1560
190,20109,A,302.15,15,159
190,31779,A,237.13,167,1584
190,31779,D,142.27,154,1586
190,80212,C,298.52,179,1905
203,1611,A,281.34,154,1642
203,1611,C,97.58,141,1423
203,1611,D,300.49,155,1534
203,20109,A,308.87,173,1678
203,20109,B,137.08,170,1819
203,20109,C,102.5,46,494
203,80212,B,163.06,145,1370
217,3480,A,314.57,66,555
217,3480,C,217.76,131,1323
217,1611,C,99.65,74,715
217,20109,A,419.96,81,771
217,20109,B,294.9,148,1363
217,31779,C,213.97,49,447
217,80212,A,321.02,76,701
222,1611,C,342.67,136,1241
222,20109,A,115.27,85,849
222,20109,B,236.18,107,1000
222,20109,C,107.25,188,1596
222,20109,D,310,51,441
222,31779,B,254.97,37,391
222,80212,B,168.53,33,310
222,80212,C,429.42,64,671
223,20109,C,227.56,42,374
223,31779,A,218.72,111,958
223,31779,B,288.7,36,305
223,80212,A,142.85,132,1412
223,80212,C,327.53,93,966
223,80212,D,426.56,76,677
228,20109,C,372.04,190,1891
228,20109,D,37.53,7,75
228,80212,A,365.85,188,1587
228,80212,B,452.14,82,703
228,80212,C,384.77,30,258
228,80212,D,455.1,172,1800
235,3480,B,169.15,139,1460
235,3480,C,73.87,105,974
235,1611,A,15.67,109,931
235,1611,D,213.01,68,724
235,20109,A,114.99,176,1852
235,20109,B,430.71,31,261
235,20109,C,259.16,71,738
239,3480,B,180.17,60,551
239,1611,A,89.14,166,1454
239,1611,C,191.3,67,603
239,20109,B,9.49,21,208
239,31779,B,41.55,84,707
239,80212,A,476.77,30,264
239,80212,B,63.32,121,1075
241,3480,C,330.07,172,1590
241,1611,C,242.38,192,2059
241,20109,B,13.43,197,1730
241,20109,C,309.88,93,896
241,20109,D,158.88,192,1975
241,31779,A,236.04,103,937
241,31779,C,0.94,110,1050
241,31779,D,110.49,99,916
244,3480,A,471.53,175,1873
244,3480,B,443.27,137,1479
244,3480,C,181.69,70,634
244,1611,A,450.89,129,1270
244,20109,C,26.44,174,1585
244,20109,D,121.38,55,505
244,31779,B,58.87,106,1081
245,3480,A,239.74,194,1737
245,3480,B,98.79,192,1805
245,1611,A,361.08,197,1845
245,1611,B,485.47,61,613
245,20109,A,292.48,50,501
245,20109,B,218.32,21,202
245,80212,B,259.92,200,1704
245,80212,C,219.85,173,1491
252,3480,A,362.16,3,26
252,3480,D,115.82,136,1193
252,1611,B,491.65,74,714
252,1611,C,85.55,136,1228
252,20109,B,43.25,117,1054
252,20109,C,393.27,42,442
252,31779,C,300.46,89,857
252,80212,B,354.84,180,1657
257,1611,D,302.84,200,1998
257,20109,A,104.91,148,1352
257,20109,B,247.38,151,1519
257,31779,A,106.99,87,879
257,31779,C,45.32,135,1251
257,80212,A,269.39,137,1276
259,1611,A,388.54,1,10
259,20109,A,485.51,22,198
259,20109,B,304.75,100,1062
259,31779,C,332.58,147,1584
259,31779,D,420.95,177,1615
259,80212,B,239.24,191,1658
259,80212,C,296,157,1652
260,1611,B,152.02,72,666
260,1611,D,351.14,111,943
260,20109,B,6.38,183,1767
260,31779,C,169.6,59,602
260,80212,A,30.16,12,126
260,80212,B,419.93,77,649
260,80212,C,253.26,70,603
272,3480,B,311.97,111,1175
272,1611,B,21.9,158,1621
272,1611,C,370.43,111,1178
272,20109,A,485.59,79,785
272,31779,A,116.96,121,1057
272,31779,C,68.64,74,721
272,80212,B,58.03,68,641
273,3480,A,482.21,186,1861
273,1611,C,276.77,77,757
273,1611,D,309.17,172,1647
273,20109,A,194.72,174,1677
273,20109,B,436.19,21,179
273,20109,C,542.04,54,565
273,31779,B,450.47,98,1015
274,3480,A,107.88,31,328
274,3480,B,254.39,79,761
274,1611,A,38.74,5,49
274,1611,D,104.34,104,890
274,20109,A,151.21,114,1181
274,31779,A,327.83,67,702
274,31779,B,94.75,105,1102
274,31779,C,25.84,40,363
274,31779,D,388.1,59,550
274,80212,C,193.84,189,1708
276,3480,A,249.3,10,96
276,20109,A,27.41,100,918
276,20109,B,551.95,97,1035
276,20109,D,349.49,64,673
276,31779,A,67.78,55,551
276,31779,B,28.38,156,1456
276,80212,A,158.52,198,1858
276,80212,B,121.95,128,1185
276,80212,D,190.17,69,716
280,3480,A,307.39,147,1512
280,3480,C,232.54,171,1816
280,3480,D,161.97,117,1141
280,1611,B,243.06,156,1607
280,20109,A,151.39,17,156
280,31779,C,538.85,48,487
280,80212,C,527.07,153,1580
283,3480,A,75.79,7,75
283,3480,C,120.75,171,1681
283,3480,D,302.09,67,667
283,1611,B,524.07,72,640
283,1611,C,541.76,153,1509
283,20109,B,387,68,639
289,3480,B,316.19,79,818
289,3480,C,297.4,136,1207
289,3480,D,369.8,187,1804
289,1611,B,131.53,154,1634
289,20109,A,210.33,135,1232
289,20109,B,88.84,172,1559
289,31779,A,546.53,144,1529
289,31779,B,109.97,127,1227
289,31779,C,250.2,93,851
289,80212,A,212.84,64,575
289,80212,B,311.83,40,406
289,80212,C,219.75,1,10
289,80212,D,125.78,146,1240
292,3480,A,471.62,2,21
292,3480,B,254.13,138,1485
292,3480,C,269.92,22,215
292,1611,A,347.41,116,1157
292,1611,D,582.72,82,783
292,20109,B,285.3,54,578
292,31779,B,287.32,91,859
293,3480,A,389.23,13,111
293,3480,B,102.46,60,506
293,3480,D,77.78,128,1286
293,1611,C,5.85,116,1164
293,1611,D,573.94,160,1693
293,31779,B,366.6,69,735
293,31779,C,68.32,138,1437
30,3480,D,24.72,56,524
30,1611,B,6.11,7,75
30,1611,C,48.62,91,873
30,1611,D,26.58,116,1014
30,20109,A,31.5,109,1155
30,20109,C,55.42,2,19
30,31779,A,15.99,74,783
30,31779,B,27.75,13,122
30,31779,C,22.46,80,790
30,31779,D,5,113,1113
30,80212,A,31.46,50,496
30,80212,B,8.45,82,703
304,3480,B,254.3,12,124
304,3480,C,403.01,83,875
304,1611,C,376.63,160,1679
304,20109,A,121,154,1448
304,20109,B,540.49,35,298
304,31779,A,417.44,187,1905
304,31779,B,355.38,98,997
304,31779,C,589.03,13,127
307,1611,B,440.42,129,1281
307,1611,C,321.21,82,827
307,20109,B,264.64,141,1300
307,20109,C,56.71,70,627
307,31779,C,453.9,7,66
307,80212,B,440.68,184,1660
307,80212,C,425.66,159,1389
314,3480,B,332.13,92,980
314,3480,D,495.45,194,2036
314,1611,C,289.87,2,19
314,20109,A,434.62,98,1047
314,31779,A,166.23,14,144
314,31779,B,490.24,62,639
314,31779,C,317.71,88,851
314,31779,D,489.95,147,1338
314,80212,A,440.96,92,918
314,80212,B,192.36,75,800
314,80212,C,502.31,87,909
328,3480,A,503.8,49,513
328,20109,A,161.91,16,152
328,20109,B,577.88,26,276
328,20109,C,305.67,179,1798
328,20109,D,336.37,162,1482
328,31779,B,216.07,27,255
328,31779,C,173.58,105,903
328,80212,C,159.36,159,1569
331,3480,A,602.28,34,346
331,1611,B,396.53,193,2022
331,20109,A,228.93,19,184
331,20109,B,264.06,28,283
331,20109,C,43,44,395
331,31779,C,20.66,30,279
331,80212,B,482.05,61,582
332,1611,A,569.49,96,1015
332,1611,B,68.1,184,1933
332,1611,C,12.17,169,1553
332,1611,D,19.96,85,894
332,31779,A,176.19,117,1044
332,80212,C,81.7,114,996
346,3480,C,181.85,161,1391
346,1611,A,297.76,164,1427
346,20109,A,42.27,183,1783
346,31779,A,311.77,200,1798
346,31779,D,571.98,109,1044
346,80212,A,364.17,136,1429
346,80212,C,334.08,110,1115
352,3480,A,626.77,4,42
352,1611,A,275.06,189,1718
352,1611,C,221.72,61,643
352,31779,B,186.52,47,449
352,80212,A,119.06,7,65
352,80212,B,658.89,140,1504
352,80212,C,407.78,83,727
362,3480,B,572.15,104,1091
362,3480,C,482.97,64,619
362,3480,D,593.99,194,1700
362,20109,B,705.98,50,526
362,20109,C,179.69,9,87
362,80212,B,123.63,104,1029
363,3480,A,274.81,141,1452
363,3480,B,620.35,82,807
363,1611,A,336.22,108,1098
363,31779,B,647.22,80,850
363,31779,C,107.71,113,1006
363,80212,B,314.02,147,1417
363,80212,D,333.53,91,946
372,3480,B,145.53,163,1471
372,1611,A,286.3,50,529
372,1611,D,4.26,113,1032
372,31779,A,600.78,119,1280
372,31779,B,259.57,185,1903
387,3480,A,62.91,10,107
387,1611,B,368,194,1743
387,20109,A,562.48,31,318
387,20109,B,528.33,122,1169
387,31779,B,84.08,2,19
387,80212,A,449.97,26,278
387,80212,B,290.66,21,178
387,80212,C,357.46,12,119
387,80212,D,271.23,56,557
392,20109,A,383.41,110,1171
392,20109,C,75.35,19,196
392,31779,A,393.11,196,1974
392,31779,B,54.92,7,59
392,31779,C,201.81,73,616
392,31779,D,783.62,88,770
392,80212,C,266.97,146,1257
401,3480,A,450.3,26,221
401,1611,A,599.95,159,1635
401,1611,C,118.71,161,1409
401,20109,B,740.19,69,614
401,31779,A,291.58,89,937
401,31779,B,637.06,48,446
401,80212,B,270,190,2043
402,3480,B,481.76,115,1035
402,3480,D,735.97,118,1270
402,1611,C,427.81,187,1901
402,20109,C,253.48,200,2147
402,31779,C,134.78,124,1066
402,80212,C,450.96,190,2045
403,3480,A,320.73,15,153
403,3480,B,343.48,47,503
403,3480,C,382.11,4,43
403,3480,D,758.82,106,1023
403,1611,B,706.87,171,1545
403,31779,A,63.14,75,784
403,31779,B,364.71,34,336
403,80212,B,795.7,130,1235
403,80212,D,324.29,22,193
404,3480,A,54.99,44,426
404,1611,A,777.29,80,818
404,20109,D,679.17,180,1603
404,80212,B,384.11,106,1100
404,80212,C,438.37,55,531
410,3480,C,92.3,86,779
410,3480,D,519.19,56,596
410,20109,A,492.44,137,1475
410,20109,C,330.05,151,1454
410,31779,C,560.57,182,1534
410,80212,B,358.19,140,1186
410,80212,C,103.19,124,1301
416,3480,A,494.66,162,1537
416,3480,C,607.56,159,1515
416,1611,A,48.2,156,1645
416,20109,A,271.53,72,691
416,20109,D,752.93,19,184
416,31779,B,583.35,164,1564
416,80212,A,464.66,119,1152
427,3480,B,755.98,115,1213
427,3480,C,366.23,24,256
427,3480,D,384.7,63,546
427,20109,A,755.68,101,909
427,20109,D,678.76,194,1983
427,80212,A,194.14,35,374
427,80212,C,767.8,157,1628
440,1611,A,530.03,52,476
440,1611,B,259.3,19,161
440,1611,C,595.01,142,1475
440,20109,B,703.66,170,1805
440,20109,C,871.12,122,1129
440,31779,A,845.19,137,1418
440,31779,B,435.14,15,153
440,31779,D,813.46,13,110
44,3480,A,44.98,130,1257
44,3480,B,32.74,107,966
440,80212,B,607.87,172,1527
440,80212,C,451.75,29,263
440,80212,D,315.12,132,1235
44,1611,A,78.09,153,1377
44,1611,C,85.05,169,1587
44,20109,A,4.08,182,1803
44,31779,A,37.97,132,1278
44,31779,B,6.02,111,1030
44,31779,C,37.15,73,678
44,80212,A,21.18,90,838
44,80212,B,66.09,83,739
444,3480,A,687.38,166,1742
444,3480,B,357.69,100,1056
444,3480,C,113.98,143,1303
444,1611,A,555.27,15,145
444,1611,C,34.4,116,1010
444,1611,D,94.99,155,1620
444,20109,A,300.97,152,1514
444,20109,C,355.41,150,1505
444,20109,D,656.95,186,1862
444,31779,A,147.04,72,623
444,31779,C,753.89,173,1709
444,80212,A,726.45,40,429
444,80212,B,449.24,188,1856
444,80212,D,228.78,5,50
457,3480,C,62.9,115,966
457,1611,A,369.39,39,368
457,1611,C,394.94,21,186
457,1611,D,557.83,7,70
457,20109,B,319.05,53,561
457,31779,B,407.55,124,1241
458,3480,A,229.11,20,207
458,3480,B,280.04,160,1362
458,1611,B,767.78,12,108
458,1611,C,159.03,63,606
458,20109,C,428.49,170,1777
458,20109,D,322.93,0,0
458,80212,C,367.99,123,1201
460,1611,C,543.57,41,378
460,20109,C,889.32,189,1987
460,31779,A,751.52,176,1542
460,31779,B,532.62,29,259
460,31779,C,688.18,9,89
460,31779,D,120.17,97,819
46,3480,B,56.6,57,565
46,3480,D,40.11,163,1692
460,80212,C,554.72,67,601
46,1611,B,4.08,171,1837
46,1611,C,59.9,154,1631
46,20109,A,33.53,189,1846
46,80212,B,53.54,159,1518
46,80212,D,41.1,48,505
462,20109,A,365.88,179,1619
462,31779,A,665.1,76,678
462,31779,B,386.63,126,1163
462,31779,C,390.06,81,867
462,31779,D,625.51,62,585
462,80212,B,644.57,183,1591
462,80212,C,862.43,160,1376
479,3480,A,205.72,51,536
479,3480,C,640.81,128,1269
479,3480,D,332.63,115,1073
479,1611,A,480.9,150,1568
479,20109,A,766.28,48,416
479,20109,B,415.62,70,714
479,80212,B,563.56,150,1614
479,80212,D,368.48,129,1340
488,3480,A,267.33,154,1302
488,3480,D,664.44,200,1887
488,1611,C,11.64,83,738
488,1611,D,67.37,26,244
488,20109,B,853.17,44,429
488,20109,C,441.43,73,679
489,3480,C,850.7,156,1369
489,3480,D,342.84,73,728
489,20109,B,740.93,196,1862
489,20109,C,277.45,32,319
489,31779,A,976.88,187,1724
489,31779,D,824.13,46,464
489,80212,B,853.74,104,1114
490,1611,B,349.23,77,670
490,1611,C,533.56,125,1107
490,1611,D,17.39,164,1590
490,20109,B,80.13,181,1713
490,20109,C,473.14,27,266
490,80212,B,720.11,137,1357
490,80212,C,151.46,100,1026
501,3480,A,867.66,166,1698
501,3480,B,478.87,0,0
501,3480,D,669.54,57,503
501,1611,A,937.69,133,1151
501,20109,C,745.68,29,267
501,31779,C,904.34,119,1215
501,80212,B,266.85,15,153
503,3480,A,19.27,104,1056
503,1611,B,46.98,113,1020
503,20109,A,323.49,58,553
503,20109,C,913.46,78,681
503,31779,A,807.02,168,1771
503,31779,B,791.56,45,477
503,31779,D,670.06,78,816
506,3480,A,655.07,22,227
506,3480,B,332,84,871
506,3480,D,48.86,140,1415
506,1611,A,291.11,62,614
506,31779,A,851.09,151,1522
506,31779,B,250.67,148,1587
506,80212,B,331.3,32,308
509,3480,A,914.23,169,1425
509,3480,C,542.92,187,1730
509,3480,D,782.87,124,1189
509,31779,C,753.94,12,108
509,80212,A,487.34,41,351
509,80212,B,551.62,130,1309
509,80212,C,123.11,104,879
512,3480,A,414.98,140,1210
512,3480,B,456.76,62,642
512,3480,C,717.61,71,635
512,3480,D,905.94,12,129
512,1611,A,828.67,84,731
512,1611,C,534.99,131,1124
514,3480,A,114.78,197,1967
514,3480,C,806.12,160,1449
514,1611,A,720.85,148,1400
514,20109,B,539.51,43,459
514,31779,A,1007.45,102,989
514,80212,A,157.42,83,750
514,80212,C,179.35,34,364
523,3480,B,488.28,178,1620
523,3480,C,120.88,134,1382
523,20109,A,481.4,117,1240
523,31779,B,36.62,66,636
523,80212,A,141.68,59,555
523,80212,D,904.15,109,1126
530,1611,B,131.02,110,1129
530,1611,C,601.25,143,1501
530,20109,B,530.27,21,215
530,20109,C,1053.79,39,373
530,20109,D,751.25,27,263
530,31779,A,96.89,10,89
53,3480,B,97.83,10,100
53,3480,D,72.52,161,1491
530,80212,B,350.77,82,717
53,1611,B,97.7,159,1567
53,1611,C,97.39,176,1582
53,20109,A,26.31,94,872
53,20109,B,48.07,170,1572
53,31779,B,7.77,32,336
53,80212,B,22.14,40,406
534,3480,B,95.08,199,1844
534,3480,D,1043.42,1,9
534,1611,B,750.6,12,120
534,80212,A,866.88,10,98
536,3480,B,380.35,177,1540
536,3480,C,383.49,8,67
536,1611,A,68.21,64,680
536,1611,B,954.33,60,581
536,20109,B,597.38,197,1976
536,20109,C,820.72,146,1409
536,80212,C,855.3,166,1565
539,3480,A,551.15,163,1566
539,3480,C,489.01,7,61
539,1611,A,212.24,66,567
539,20109,B,794.83,140,1381
539,20109,D,507.99,125,1319
539,31779,A,904.11,113,1197
539,80212,A,762.58,38,380
542,3480,C,367.87,81,800
542,20109,B,1077.37,4,42
542,31779,A,201.6,138,1250
542,31779,B,722.51,74,659
542,31779,C,296.47,39,397
542,31779,D,932.5,59,523
542,80212,B,623.91,152,1589
55,3480,B,103.46,152,1551
55,1611,A,24.92,86,880
55,1611,B,87.36,171,1455
55,1611,D,38.98,146,1411
55,20109,A,68.35,92,941
55,20109,C,96.91,168,1638
55,80212,B,43.94,20,198
55,80212,C,87.59,126,1080
560,3480,C,920.87,94,916
560,1611,A,442.64,110,1109
560,1611,D,490.14,5,53
560,20109,C,1077.79,106,1087
560,31779,A,1083.18,140,1333
560,31779,C,929.38,41,373
560,80212,C,467.64,172,1663
563,3480,A,810.85,125,1210
563,3480,B,806.47,81,809
563,3480,C,439.89,73,783
563,1611,B,1048.77,174,1519
563,1611,C,356.15,116,1141
563,20109,C,294.75,40,367
563,31779,B,938.77,43,396
571,1611,C,136.43,20,172
571,1611,D,55.1,79,721
571,20109,B,47.6,175,1847
571,20109,C,1080.79,127,1273
571,31779,A,945.95,53,463
571,31779,B,1067.87,114,1008
571,80212,C,165.13,141,1478
578,3480,B,747.23,14,141
578,3480,C,829.99,25,215
578,1611,A,216.82,80,789
578,20109,A,911.44,108,1153
578,20109,D,1091.78,8,70
578,31779,A,766.57,134,1352
578,31779,C,884.48,131,1185
578,31779,D,154.57,183,1930
584,3480,B,372.79,85,781
584,1611,B,928.71,71,656
584,1611,C,187.47,125,1273
584,20109,A,647.04,176,1492
584,31779,A,1127.24,105,1009
584,31779,B,292,173,1532
584,80212,B,310.3,168,1515
586,3480,B,1126.86,108,1061
586,3480,C,743.16,77,771
586,1611,B,646.9,191,2044
586,1611,D,867.4,9,82
586,20109,C,1098.86,4,34
586,20109,D,162.45,189,1747
586,31779,A,149.84,26,269
586,31779,D,52.5,91,794
586,80212,A,149.59,187,1987
586,80212,B,350.68,33,280
586,80212,C,1158.32,151,1448
587,3480,A,46.39,165,1717
587,3480,B,423.77,87,851
587,3480,C,384.98,23,209
587,1611,B,592.67,119,1038
587,1611,C,537.23,24,214
587,1611,D,779.41,155,1596
587,20109,A,729.32,96,858
587,20109,C,1141.01,45,417
587,20109,D,747.54,149,1336
587,31779,A,715.4,17,168
587,31779,B,796.03,82,775
587,31779,C,858.76,76,776
587,31779,D,733.12,67,597
59,3480,C,32.64,57,536
59,1611,C,92.19,34,346
59,1611,D,18.37,105,950
59,20109,A,24.29,121,1054
59,20109,C,62.94,9,84
59,20109,D,87.96,34,350
59,31779,A,3.05,11,100
59,31779,D,103.6,178,1810
593,3480,B,657.65,183,1904
593,20109,A,803.33,173,1586
593,20109,D,239.41,198,2027
593,31779,B,1081.7,142,1443
593,31779,C,541.16,8,71
593,80212,A,159.28,172,1451
595,3480,B,453.25,81,807
595,3480,D,1180.73,34,362
595,1611,A,1043.41,153,1650
595,1611,B,417.03,153,1446
595,1611,C,583.02,197,1660
595,1611,D,605.43,90,816
595,31779,B,746.69,163,1428
6,3480,A,11.08,167,1722
6,1611,A,3.91,109,999
6,1611,B,4.16,78,757
6,1611,D,3.9,20,207
6,20109,A,8.08,19,203
6,80212,A,3.29,62,596
6,80212,C,7.78,194,1808
614,3480,B,149.28,196,2009
614,1611,C,677.11,150,1350
614,20109,A,299,117,1234
614,20109,D,1183.56,9,84
614,31779,A,293.9,136,1272
614,31779,C,9.19,42,412
614,31779,D,213.11,152,1604
615,1611,A,575.31,115,1080
615,1611,B,963.04,173,1530
615,1611,C,828.72,113,1042
615,20109,A,559.63,155,1634
615,20109,C,976.66,113,1151
615,20109,D,158.32,39,344
615,80212,A,702.94,1,10
618,3480,A,936.21,48,486
618,3480,D,1146.49,96,921
618,20109,A,39.13,9,77
618,20109,B,197.45,62,641
618,31779,A,733.69,101,1051
618,31779,B,766.06,128,1203
618,80212,C,991.95,151,1285
618,80212,D,282.66,144,1423
62,3480,A,98.62,53,521
62,3480,B,50.97,39,356
62,3480,C,3.66,64,667
62,1611,A,106.24,152,1282
62,1611,C,102.97,131,1191
62,31779,A,38.95,175,1566
62,80212,B,4.53,170,1598
623,1611,C,187.15,185,1990
623,1611,D,1107.18,194,1847
623,20109,B,339.86,153,1395
623,31779,A,945.41,126,1266
623,31779,D,465.67,85,768
623,80212,C,394.94,45,407
625,3480,C,1147.5,186,1676
625,1611,A,1035.94,183,1600
625,1611,B,815.46,120,1281
625,20109,A,1152.02,40,352
625,20109,B,755.05,35,338
625,31779,A,229.03,104,919
625,80212,C,426.04,65,668
632,3480,B,53.44,93,854
632,3480,C,213.99,197,2110
632,1611,A,673.65,73,684
632,1611,C,822.96,173,1564
632,20109,C,1031.46,167,1467
632,31779,C,588.41,180,1876
632,80212,A,522.09,23,239
633,3480,C,476.15,104,937
633,1611,C,691.12,6,62
633,1611,D,671.36,58,589
633,20109,A,236.23,172,1563
633,20109,D,15.84,166,1397
633,31779,A,671.36,132,1141
633,80212,B,346.38,160,1365
635,3480,A,940.65,36,352
635,1611,A,954.38,79,852
635,1611,B,896.04,25,260
635,1611,C,287.15,187,1953
635,1611,D,54.42,164,1627
635,20109,B,934.41,81,865
635,31779,B,1046.55,62,540
637,1611,A,957.35,195,2015
637,1611,B,99.53,24,215
637,1611,D,938.18,95,871
637,20109,C,836.44,142,1254
637,31779,A,330.82,21,179
637,80212,B,571.41,69,585
642,3480,A,21.18,151,1496
642,1611,A,1192.32,118,1149
642,1611,B,1056.28,40,394
642,20109,A,921.8,183,1905
642,20109,C,910.32,16,144
642,31779,A,160.72,131,1300
642,80212,C,153.32,147,1316
644,3480,B,934.98,85,880
644,3480,C,1280.8,79,669
644,1611,B,771.19,75,702
644,20109,A,5.31,173,1804
644,20109,C,252.94,108,918
644,80212,A,1116.05,115,1096
644,80212,C,939.61,4,36
649,3480,B,654.79,5,52
649,1611,D,739.17,53,523
649,20109,B,747.2,119,1189
649,20109,C,46.66,130,1360
649,31779,C,557.19,43,434
649,31779,D,113.03,9,89
651,3480,C,1125.07,68,591
651,1611,C,639.65,114,1125
651,1611,D,524.86,24,227
651,80212,A,542.79,156,1605
651,80212,C,818.83,25,264
655,3480,A,682.38,180,1709
655,1611,A,661.5,25,258
655,1611,B,838.11,78,661
655,20109,B,357.35,20,195
655,20109,C,25.17,27,238
655,31779,A,727.41,123,1278
655,80212,B,1216.12,50,476
659,3480,A,948.52,168,1575
659,3480,C,377.65,61,597
659,20109,C,152.79,199,2139
659,31779,A,287.73,196,2074
659,31779,B,858.15,14,139
659,31779,C,559.84,141,1509
659,80212,B,908.22,81,854
660,3480,B,231.25,113,1010
660,1611,B,1191.49,160,1554
660,20109,A,157.71,90,871
660,31779,B,774.72,87,843
660,31779,C,975.64,41,354
66,3480,A,22.77,194,2086
66,3480,B,129.9,189,1691
66,3480,C,19.27,135,1221
660,80212,A,780.16,146,1501
660,80212,B,1255.04,163,1413
66,1611,A,68.05,9,79
66,1611,D,118.31,178,1822
66,20109,B,96.62,102,992
66,31779,B,97.91,176,1691
66,80212,C,117.32,64,549
669,3480,A,1021.45,116,1067
669,3480,B,892.5,86,794
669,3480,C,391.71,137,1472
669,3480,D,958.74,33,297
669,1611,B,487.67,189,1724
669,31779,A,763.13,32,338
669,31779,B,861.6,98,920
671,3480,B,398.43,14,119
671,1611,B,416.7,130,1170
671,20109,C,1122.59,132,1416
671,20109,D,1008.67,6,60
671,31779,B,78.08,128,1270
675,1611,B,1334.88,100,1002
675,1611,D,897.04,78,789
675,20109,C,188.6,110,1146
675,31779,B,325.1,6,52
675,80212,C,365.24,194,1860
679,3480,B,464.98,27,263
679,3480,C,710.21,9,76
679,1611,B,1190.35,164,1413
679,20109,A,636.03,79,819
679,20109,C,1272.71,89,929
679,31779,A,942.48,26,220
679,31779,C,481.18,53,536
685,3480,A,906.48,200,1973
685,3480,C,1355.25,74,783
685,3480,D,834.87,127,1137
